,values
6.011999604,0.0
6.111999604000001,0.0
6.211999604000001,0.0
6.311999604000001,0.0
6.411999604000001,0.0
6.5119996040000006,0.0
6.611999604000001,0.0
6.711999604000001,0.0
6.811999604000001,0.0
6.911999604000001,9.778282091086268
7.0119996040000006,8.323862131178265
7.111999604000001,3.027340409312286
7.211999604000001,0.0
7.311999604000001,0.0
7.411999604000001,3.5599143064300005
7.5119996040000006,5.078725131971712
7.611999604000001,0.0
7.711999604000001,0.0
7.811999604000001,0.0
7.911999604000001,0.0
8.011999604000001,0.0
8.111999604000001,0.0
8.211999604,0.0
8.303484623000001,0.0
8.336817956333334,0.0
8.370151289666667,0.0
8.403484623,0.0
8.436817956333334,0.0
8.470151289666667,0.0
8.503484623,0.0
8.536817956333334,0.0
8.570151289666667,0.0
8.603484623000002,0.0
8.636817956333335,0.0
8.670151289666668,0.0
8.703484623000001,0.0
8.736817956333335,0.0
8.770151289666668,0.0
8.803484623000001,0.0
8.836817956333334,0.0
8.870151289666667,0.0
8.903484623,0.0
8.936817956333334,0.0
8.970151289666667,0.0
9.003484623,0.0
9.036817956333334,0.0
9.070151289666667,0.0
9.103484623000002,0.0
9.136817956333335,0.0
9.170151289666668,0.0
9.203484623000001,0.0
9.236817956333335,4.884627542222751
9.270151289666668,4.187088506547473
9.303484623000001,0.0
9.336817956333334,2.926389569069511
9.370151289666667,8.308884918303107
9.403484623,8.180602572294324
9.436817956333334,3.3362440328332807
9.470151289666667,0.0
9.503484623,0.0
9.536817956333334,0.0
9.570151289666667,0.0
9.601355214,0.0
9.701355214,0.0
9.801355214,4.293006471371223
9.901355214,7.684704404715483
10.001355214,0.0
10.101355214,0.0
10.201355214,4.206441822699361
10.301355214,4.362073228656143
10.401355214,0.0
10.501355214,0.0
10.601355214,0.0
10.701355214,0.0
10.801355214,0.0
10.901355214,0.0
11.001355214,0.0
11.101355214,0.0
11.201355214,0.0
11.301355214,0.0
11.401355214,0.0
11.501355214,0.0
11.601355214,0.0
11.701355214,0.0
11.801355214,0.0
11.901355214,0.0
12.001355214,0.0
12.101355214,0.0
12.201355214,4.289616809943559
12.301355214,0.0
12.401355214,0.0
12.501355214,0.0
12.601355214,0.0
12.701355214,0.0
12.801355214,0.0
12.901355214,0.0
13.001355214,8.888540127963655
13.101355214,10.016077367004197
13.201355214,0.0
13.301355214,0.0
13.401355214,0.0
13.501355214,0.0
13.601355214,0.0
13.701355214,0.0
13.801355214,0.0
13.901355214,0.0
14.001355214,0.0
14.101355214,0.0
14.201355214,2.407996259842538
14.301355214,0.0
14.401355214,0.0
14.501355214,0.0
14.601355214,0.0
14.701355214,0.0
14.801355214,0.0
14.901355214,0.0
15.001355214,0.0
15.101355214,0.0
15.201355214,0.0
15.301355214,7.578264865562772
15.401355214,3.3023342900734467
15.501355214,0.0
15.601355214,0.0
15.701355214,0.0
15.801355214,0.0
15.901355214,0.0
16.001355214,0.0
16.101355214,0.0
16.201355214,0.0
16.301355214,0.0
16.401355214,0.0
16.501355214,0.0
16.601355214,0.0
16.701355214,0.0
16.801355214,0.0
16.901355214,0.0
17.001355214,0.0
17.101355214,0.0
17.201355214,0.0
17.301355214,0.0
17.401355214,0.0
17.501355214,0.0
17.601355214,0.0
17.701355214,0.0
17.801355214,0.0
17.901355214,0.0
18.001355214,0.0
18.101355214,0.0
18.201355214,0.0
18.301355214,0.0
18.401355214,0.0
18.501355214,0.0
18.601355214,0.0
18.701355214,0.0
18.801355214,0.0
18.901355214,0.0
19.001355214,3.4402034970762014
19.101355214,3.6203108063235585
19.201355214,0.0
19.301355214,0.0
19.401355214,0.0
19.501355214,0.0
19.601355214,0.0
19.701355214,0.0
19.801355214,0.0
19.901355214,0.0
20.001355214,0.0
20.101355214,0.0
20.201355214,0.0
20.301355214,0.0
20.401355214,0.0
