,values
6.017693646000001,0.0
6.117693646000001,0.0
6.217693646000001,0.0
6.317693646,0.0
6.417693646000001,0.0
6.517693646000001,0.0
6.617693646000001,0.0
6.717693646000001,0.0
6.817693646,0.0
6.917693646000001,10.609535683802244
7.017693646000001,7.558262273390479
7.117693646000001,0.0
7.217693646000001,0.0
7.317693646,0.0
7.417693646000001,6.165196681395313
7.517693646000001,6.730238243589128
7.617693646000001,0.0
7.717693646000001,0.0
7.817693646,0.0
7.917693646000001,0.0
8.017693646000001,0.0
8.117693646000001,0.0
8.217693646,0.0
8.301807076,0.0
8.335140409333333,0.0
8.368473742666668,0.0
8.401807076,0.0
8.435140409333334,0.0
8.468473742666667,0.0
8.501807076,0.0
8.535140409333334,0.0
8.568473742666667,0.0
8.601807076,0.0
8.635140409333333,0.0
8.668473742666666,0.0
8.701807076,0.0
8.735140409333333,0.0
8.768473742666666,0.0
8.801807076,0.0
8.835140409333333,0.0
8.868473742666668,0.0
8.901807076,0.0
8.935140409333334,0.0
8.968473742666667,0.0
9.001807076,0.0
9.035140409333334,0.0
9.068473742666667,0.0
9.101807076,0.0
9.135140409333333,0.0
9.168473742666666,0.0
9.201807076,0.0
9.235140409333333,6.032274577728548
9.268473742666666,5.363112873908752
9.301807076,0.0
9.335140409333333,0.0
9.368473742666668,8.322114368845945
9.401807076,8.826803704945748
9.435140409333334,6.375190119213067
9.468473742666667,0.0
9.501807076,0.0
9.535140409333334,0.0
9.568473742666667,0.0
9.603862815000001,0.0
9.703862815,15.016149910458354
9.803862815,8.579702846676932
9.903862815,8.399795498350867
10.003862815,3.9660485064189333
10.103862815000001,0.0
10.203862815,11.263270631063635
10.303862815,10.984938162886623
10.403862815,0.0
10.503862815,0.0
10.603862815000001,0.0
10.703862815,0.0
10.803862815,0.0
10.903862815,0.0
11.003862815,0.0
11.103862815000001,0.0
11.203862815,0.0
11.303862815,0.0
11.403862815,9.574026446293534
11.503862815,7.711555325072011
11.603862815000001,5.904066970033818
11.703862815,6.406593755919061
11.803862815,0.0
11.903862815,7.064960294200414
12.003862815,0.0
12.103862815000001,0.0
12.203862815,4.810316621799214
12.303862815,0.0
12.403862815,0.0
12.503862815,6.041943386045343
12.603862815000001,0.0
12.703862815,5.228767456235711
12.803862815,9.282241390385158
12.903862815,0.0
13.003862815,0.0
13.103862815000001,10.185485141777285
13.203862815,10.646045254524006
13.303862815,0.0
13.403862815,0.0
13.503862815,0.0
13.603862815000001,9.410220071492711
13.703862815,5.133993895449297
13.803862815,4.261671282058718
13.903862815,5.0749015032774825
14.003862815,5.464869851255294
14.103862815000001,0.0
14.203862815,0.0
14.303862815,0.0
14.403862815,7.655176079668069
14.503862815,0.0
14.603862815000001,0.0
14.703862815,3.5490580115222925
14.803862815,0.0
14.903862815,0.0
15.003862815,4.40294829443851
15.103862815000001,0.0
15.203862815,0.0
15.303862815,9.803911810743886
15.403862815,3.6279811683346463
15.503862815,0.0
15.603862815000001,0.0
15.703862815,0.0
15.803862815,0.0
15.903862815,0.0
16.003862815,0.0
16.103862815,0.0
16.203862815,0.0
16.303862815,0.0
16.403862815,0.0
16.503862815,11.426365752473675
16.603862815,0.0
16.703862815,0.0
16.803862815,10.03688621281074
16.903862815,4.048325764482176
17.003862815,0.0
17.103862815000003,0.0
17.203862815,0.0
17.303862815000002,0.0
17.403862815000004,0.0
17.503862815,0.0
17.603862815000003,0.0
17.703862815,0.0
17.803862815000002,0.0
17.903862815000004,0.0
18.003862815,0.0
18.103862815000003,3.82266596448534
18.203862815,6.831333781525852
18.303862815000002,0.0
18.403862815000004,0.0
18.503862815,0.0
18.603862815000003,0.0
18.703862815,0.0
18.803862815000002,0.0
18.903862815000004,0.0
19.003862815,0.0
19.103862815000003,8.945645010536941
19.203862815,8.703822286031594
19.303862815000002,0.0
19.403862815000004,0.0
19.503862815,0.0
19.603862815000003,0.0
19.703862815,0.0
19.803862815000002,0.0
19.903862815000004,0.0
20.003862815,0.0
20.103862815000003,0.0
20.203862815,0.0
20.303862815000002,3.6279803026607675
20.403862815000004,8.338488506464502
20.503862815,9.457466679103266
20.603862815000003,6.3662729731115375
20.703862815,6.591804751757082
20.803862815000002,4.009614214845461
20.903862815000004,5.253581673252364
21.003202905000002,0.0
21.019869571666668,0.0
21.036536238333333,0.0
21.053202905,0.0
21.06986957166667,0.0
21.086536238333334,0.0
21.103202905,3.5975402413953286
21.119869571666666,6.758856063932058
21.136536238333335,7.896297739019212
21.153202905,7.683223466049774
21.169869571666666,5.506592907669061
21.186536238333336,4.03943408965074
21.203202905,5.954600661998187
21.219869571666667,6.194798919058366
21.236536238333333,5.236223433152924
21.253202905000002,0.0
21.269869571666668,0.0
21.286536238333333,0.0
