,values
6.0125218910000005,0.0
6.112521891,0.0
6.212521891,0.0
6.312521891,0.0
6.412521891,0.0
6.5125218910000005,0.0
6.612521891,2.4715370088751256
6.712521891,2.6384726407273207
6.812521891,0.0
6.912521891,9.422504864410383
7.0125218910000005,8.278989528355861
7.112521891,3.126106419512678
7.212521891,0.0
7.312521891,0.0
7.412521891,3.592115338686989
7.5125218910000005,4.885854883777872
7.612521891,0.0
7.712521891,0.0
7.812521891,0.0
7.912521891,0.0
8.012521891,0.0
8.112521891,0.0
8.212521891,0.0
8.303758517,0.0
8.337091850333334,0.0
8.370425183666667,0.0
8.403758517000002,0.0
8.437091850333335,0.0
8.470425183666668,0.0
8.503758517000001,0.0
8.537091850333333,0.0
8.570425183666666,0.0
8.603758517,0.0
8.637091850333332,0.0
8.670425183666667,0.0
8.703758517,0.0
8.737091850333334,0.0
8.770425183666667,0.0
8.803758517,0.0
8.837091850333334,0.0
8.870425183666667,0.0
8.903758517,0.0
8.937091850333333,0.0
8.970425183666666,0.0
9.003758517,0.0
9.037091850333333,0.0
9.070425183666666,0.0
9.103758517,0.0
9.137091850333332,0.0
9.170425183666667,0.0
9.203758517,0.0
9.237091850333334,3.376479824954612
9.270425183666667,3.5275462841872605
9.303758517,2.960423074988636
9.337091850333334,0.0
9.370425183666667,4.864136577762185
9.403758517,5.585898350543813
9.437091850333333,2.746974260505393
9.470425183666666,0.0
9.503758517,0.0
9.537091850333333,0.0
9.570425183666666,0.0
9.6019257,0.0
9.7019257,0.0
9.8019257,0.0
9.9019257,7.018474330911587
10.0019257,0.0
10.1019257,0.0
10.2019257,2.7314352838898825
10.3019257,3.992990675652771
10.4019257,0.0
10.5019257,0.0
10.6019257,0.0
10.7019257,0.0
10.8019257,0.0
10.9019257,0.0
11.0019257,0.0
11.1019257,2.6112963299949663
11.2019257,0.0
11.3019257,0.0
11.4019257,0.0
11.5019257,0.0
11.6019257,0.0
11.7019257,0.0
11.8019257,0.0
11.9019257,0.0
12.0019257,0.0
12.1019257,0.0
12.2019257,3.909384843912767
12.3019257,0.0
12.4019257,0.0
12.5019257,0.0
12.6019257,0.0
12.7019257,0.0
12.8019257,0.0
12.9019257,0.0
13.0019257,8.33113755886505
13.1019257,9.741907163220581
13.2019257,0.0
13.3019257,0.0
13.4019257,0.0
13.5019257,0.0
13.6019257,0.0
13.7019257,0.0
13.8019257,0.0
13.9019257,0.0
14.0019257,0.0
14.1019257,0.0
14.2019257,0.0
14.3019257,0.0
14.4019257,0.0
14.5019257,0.0
14.6019257,0.0
14.7019257,0.0
14.8019257,0.0
14.9019257,0.0
15.0019257,0.0
15.1019257,0.0
15.2019257,2.947796535597552
15.3019257,4.656193294347584
15.4019257,0.0
15.5019257,0.0
15.6019257,0.0
15.7019257,0.0
15.8019257,0.0
15.9019257,0.0
16.0019257,0.0
16.1019257,0.0
16.2019257,0.0
16.3019257,0.0
16.4019257,0.0
16.5019257,0.0
16.601925700000002,0.0
16.7019257,0.0
16.8019257,0.0
16.901925700000003,0.0
17.0019257,0.0
17.1019257,0.0
17.2019257,0.0
17.3019257,0.0
17.4019257,0.0
17.5019257,0.0
17.6019257,0.0
17.7019257,0.0
17.8019257,0.0
17.9019257,0.0
18.0019257,0.0
18.1019257,0.0
18.2019257,0.0
18.3019257,0.0
18.4019257,0.0
18.5019257,0.0
18.6019257,0.0
18.7019257,0.0
18.8019257,0.0
18.9019257,0.0
19.0019257,0.0
19.1019257,0.0
19.2019257,0.0
19.3019257,0.0
19.4019257,0.0
19.5019257,0.0
19.6019257,0.0
19.7019257,0.0
19.8019257,0.0
19.9019257,0.0
20.0019257,0.0
20.1019257,2.458426112534408
20.2019257,0.0
20.3019257,0.0
20.4019257,0.0
20.5019257,2.5325540347723043
20.6019257,0.0
20.7019257,0.0
20.8019257,0.0
20.9019257,5.201028279342257
21.004912966000003,3.2372542051622206
21.02157963266667,3.2313549990387256
21.038246299333334,0.0
21.054912966000003,0.0
21.07157963266667,0.0
21.088246299333335,0.0
21.104912966000004,0.0
21.12157963266667,0.0
21.138246299333336,0.0
21.154912966,0.0
21.17157963266667,0.0
21.188246299333336,0.0
21.204912966000002,0.0
21.221579632666668,0.0
21.238246299333337,0.0
21.254912966000003,0.0
21.27157963266667,0.0
21.288246299333334,0.0
21.304912966000003,0.0
21.32157963266667,0.0
21.338246299333335,0.0
21.354912966000004,0.0
21.37157963266667,2.7026927242196983
21.388246299333336,2.660011400347015
21.400891999000002,10.08707704414501
21.500891999,10.0
21.600891999,0.0
21.700891999000003,0.0
21.800891999,0.0
21.900891999000002,0.0
22.000891999,0.0
22.100891999,0.0
22.200891999000003,0.0
22.300891999,0.0
22.400891999000002,0.0
22.500891999,0.0
22.600891999,0.0
22.700891999000003,0.0
